Dataset,Micro-F1,Macro-F1,Precision,Recall,Subset Accuracy,Average Precision,Hamming Loss,Coverage,Ranking Loss,One-error
3sources_bbc1000,0.2289156626506024,0.10118857094082752,0.1792452830188679,0.31666666666666665,0.0,0.1886792452830189,0.4025157232704403,2.669811320754717,0.5033018867924529,0.839622641509434
3sources_guardian1000,0.22340425531914893,0.13172672672672672,0.15384615384615385,0.4077669902912621,0.0,0.18864468864468864,0.5347985347985348,2.8461538461538463,0.556043956043956,0.9010989010989011
3sources_inter3000,0.35,0.1435897435897436,0.27450980392156865,0.4827586206896552,0.0196078431372549,0.1895424836601307,0.33986928104575165,2.0392156862745097,0.3867647058823529,0.7254901960784313
Birds,0.07239819004524888,0.014519056261343012,0.2857142857142857,0.04145077720207254,0.4639175257731959,0.16596874700792794,0.05561584373304395,3.912371134020619,0.17209684561109667,0.9742268041237113
CAL500,0.3746430611079383,0.08956984790716324,0.33954451345755693,0.4178343949044586,0.0,0.18135805273645822,0.20838090888330668,135.17218543046357,0.2071332094133166,1.0
CHD_49,0.6442307692307693,0.4458931450438943,0.5385852090032154,0.8014354066985646,0.029940119760479042,0.45014023096649275,0.36926147704590817,2.8622754491017965,0.2506819693945442,0.7425149700598802
Corel16k001,0.03613257628487453,0.013157144432477402,0.018934831646696054,0.39385721357697856,0.0,0.017227621445442716,0.3620032704337218,568.4213075060533,0.42362068968866495,1.0
Corel16k002,0.043550715941950445,0.01565720290715648,0.022801269923624207,0.48396532811390963,0.0,0.016957999107108986,0.3604835909391988,571.9007023492371,0.3865530034946896,1.0
Corel16k003,0.03871828847960221,0.014260133823958554,0.02026203165374677,0.43444574297710253,0.0,0.01711515895028803,0.36921642012185,572.5804263565891,0.41455005505875936,1.0
Corel16k004,0.0395245269175139,0.013773860343590627,0.02073604765630916,0.4208234616123455,0.0,0.017045256099051744,0.34862061889876533,577.7155587668593,0.41477735914220815,1.0
Corel16k005,0.036446811608497366,0.013749641785180107,0.01905744247157347,0.4163983687486585,0.0,0.016989388469532872,0.37405280239215255,575.9367027677497,0.4216499296746241,1.0
Corel16k006,0.03646759921963946,0.013077961565708741,0.019111070174899963,0.3972177316429848,0.0,0.017079150009663605,0.35849576181902465,581.0189995189995,0.4244325740321894,1.0
Corel16k007,0.03598765225973294,0.013343944150699316,0.018811607554122523,0.4139159749930655,0.0,0.016655235523019243,0.3693363421524903,583.4301796407185,0.4177582029148061,1.0
Corel16k008,0.035703200456390596,0.014296194354633765,0.018607215153267784,0.4396003245228233,0.0,0.016854991939198528,0.4002396649009673,576.498076923077,0.41557581560270196,1.0
Corel16k009,0.035808409831211134,0.013406164778861973,0.018726867266504577,0.4075665655544321,0.0,0.01693180269913023,0.37162938640762017,595.2253960633701,0.42918126903557,1.0
Corel16k010,0.037141169886927616,0.014179754046142202,0.019431398486264326,0.41919930184356935,0.0,0.01741859036917455,0.3785912660409883,560.6223690651003,0.4173293736720715,1.0
Corel5k,0.0342423245202342,0.011363846110123884,0.017820689655172414,0.43616721994035895,0.0,0.013572355861015654,0.33392058037418865,790.8753333333333,0.4092453275781413,1.0
Emotions,0.47655502392344495,0.342687091706331,0.3497191011235955,0.7477477477477478,0.0,0.41850137624307315,0.5121722846441947,2.747191011235955,0.38734394506866415,0.8651685393258427
Flags,0.3893805309734513,0.12689505237862697,0.616822429906542,0.28448275862068967,0.06779661016949153,0.363053507973457,0.2923728813559322,5.762711864406779,0.20519811716845615,1.0
Image,0.24719101123595505,0.08638743455497382,0.27545909849749584,0.22418478260869565,0.165,0.24594081270983,0.335,2.165,0.4819444444444444,0.755
Mediamill,0.5028320383414422,0.026533870977648283,0.5256585439914978,0.48190549098754265,0.00501024823502619,0.043248741632244285,0.04116731418074625,22.739846656038868,0.06807999593761407,0.9916495862749564
Scene,0.13333333333333333,0.12490456505527997,0.7037037037037037,0.07364341085271318,0.06639004149377593,0.27626643833369896,0.17081604426002767,2.0345781466113415,0.38921161825726147,0.7040110650069157
Stackex_chemistry,0.03278688524590164,0.0053479275883731815,0.6756756756756757,0.016801075268817203,0.011010052656773576,0.07854800282578513,0.012104219380428093,61.8314983245572,0.21989222584992044,0.8539971278123504
Stackex_chess,0.029850746268656716,0.001316403213267686,0.8636363636363636,0.015187849720223821,0.009940357852882704,0.07415424882292232,0.01081616030688118,79.62425447316103,0.18928889874367086,0.8250497017892644
Stackex_cooking,0.09271701155603332,0.02349514090197183,0.7840909090909091,0.049271636675235646,0.0349428208386277,0.12289963034783388,0.005362134688691233,127.7884371029225,0.17723872460003517,0.7674714104193139
Stackex_cs,0.09177920545430707,0.015450912302716465,0.7,0.049109022028904166,0.016181229773462782,0.11329506581353668,0.009090622760809141,86.9658396260338,0.16824631509416355,0.8000719165767709
Water-quality,0.4473609129814551,0.24447123177755706,0.4115485564304462,0.49,0.0031446540880503146,0.46306790157935485,0.43508535489667566,9.965408805031446,0.3610083711835733,0.949685534591195
Yeast,0.4132403146801247,0.1877471396799784,0.3834710743801653,0.4480205986482137,0.0,0.30568673750491937,0.3889216843762298,7.973829201101928,0.2882692600372648,1.0
Yelp,0.1062415444674376,0.047851741418415444,0.05948780910678069,0.4963122440226395,0.0,0.054255992903788665,0.45306288761776825,610.9827267119063,0.3514291012380924,0.9990746452806909
